"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.00742034983366309,0.00757478203004413,0.0281745611645443,0.108203774798811,0.203518501142932,0.378788867619079,0.0868540277553581,0.179465135655568
"2",0.00475664875840647,0.0140476210538947,0.0221024397757357,0.0784583673696675,0.219577186938618,0.345665210999695,0.116406767669552,0.198985757434431
"3",0.00876607507102717,0.000718447595675918,0.0320535031698397,0.0909899286737017,0.229095864296392,0.315841004561185,0.145243058069884,0.177292118562295
"4",0.00502906669349429,0.00770015217577624,0.049163722902046,0.0608439748948649,0.198838632282826,0.346082990239418,0.17189329721819,0.160448163593384
"5",0.0117507171679765,0.00178656584500851,0.089993039110526,0.0277057530959886,0.19077865570778,0.343746111784417,0.131623501953345,0.202615655334958
"6",0.00418571593724584,0.0054296664951227,0.0686567240737721,0.0356336893809364,0.193586131993658,0.419221564123016,0.116180664489444,0.157105843506805
"7",0.017562058397665,0.00632741591512977,0.0591579399362425,0.0351405965195416,0.176214187548158,0.355399434616127,0.137743648450152,0.212454718616984
"8",0.00610744915921498,0.00136508693799669,0.0475584251140062,0.0182078563624134,0.193682374204008,0.449850085883555,0.110014247805657,0.173214474533149
"9",0.00202543117212399,0.0114615908227417,0.0817171825620056,0.0468179604536766,0.171176999064578,0.4402504149784,0.113247330253563,0.133303090692912
"10",0.00231972436253464,0.00274143916589542,0.0711063804358254,0.0280884794076483,0.138275345441147,0.401698839399889,0.145244755207874,0.210525036579187
"11",0.0023759946298766,0.0011380079894967,0.0793604675658722,0.0276618820908836,0.0988284898985357,0.475861829057867,0.154042239145118,0.160731089622351
"12",0.00555946542888622,0.000620121136241173,0.0884469882976966,0.0453274176519306,0.116927467045749,0.471621938897435,0.116665897232144,0.154830704309917
"13",0.00831725257878215,0.00288397286221727,0.0959943699144216,0.0148678023661362,0.161128170303045,0.469610905261921,0.0765999226594003,0.170597604054076
"14",0.0119911210758325,0.00239368705358931,0.0588340788572379,0.0428957567125483,0.103215773831364,0.494150210457621,0.110272978312597,0.17624639369921
"15",0.0247490009951775,0.000554619477703793,0.0444596596771213,0.0282785836756213,0.200421300659929,0.422991782632014,0.0980266026691091,0.180518450213324
"16",0.0112348586966404,0.00286947516327787,0.0350289404654117,0.0159717143128246,0.178706916401427,0.413499701529433,0.180713871611537,0.161974521819449
"17",0.0179661698556372,0.00482919046386093,0.0494196702593153,0.0586914160668986,0.168030223980644,0.381002006181893,0.146760984294299,0.173300338897452
"18",0.0199119960815697,0.0117504179243415,0.0368178686850282,0.0552679629940223,0.121897518730622,0.388338059515671,0.162578694930743,0.203437481138002
